Mass,O16,O17,O18,windmass,total ejected mass
12,0.35216808,5.64E-05,0.00054871,1.08605,10.4712
13,0.570964434,5.10E-05,0.000613572,1.59807,11.4413
14,0.722613591,4.86E-05,0.000543435,1.99455,12.2931
15,0.837699138,4.74E-05,0.002153059,2.20872,13.1652
16,0.936746669,4.87E-05,0.003847522,2.40594,13.9086
17,1.359856975,4.98E-05,0.003588544,2.88325,15.4545
18,1.635175023,5.01E-05,0.001837521,3.17591,16.1042
19,1.87039471,5.10E-05,0.002310948,3.52254,17.3554
20,1.95965325,5.12E-05,0.002488165,4.07029,18.1729
21,2.554911105,5.18E-05,0.00223357,4.83921,19.533
22,2.524026307,5.18E-05,0.001406455,5.83385,20.1573
23,2.547038465,5.08E-05,0.000758111,6.62317,20.8703
24,3.002363361,5.04E-05,0.000820561,7.77927,21.9398
25,3.382856291,5.19E-05,0.000925117,9.15885,23.0938
26,3.771340715,5.31E-05,0.000809143,10.5887,24.2596
27,4.05171074,5.57E-05,0.000936688,11.7825,25.2513
28,4.486207239,5.63E-05,0.002138335,12.8225,26.4474
29,4.861414857,5.69E-05,0.001427591,14.8263,27.353
30,5.14933493,5.79E-05,0.003373739,16.1092,28.261
31,5.416789115,5.90E-05,0.001576642,17.3609,29.2898
32,5.686123808,5.94E-05,0.002109968,18.5802,30.209
33,5.908100624,5.91E-05,0.002502049,19.755,31.153
35,6.474222949,6.10E-05,0.00314479,21.3307,33.0147
40,7.70577767,6.34E-05,0.00401123,24.6563,37.6465
45,9.502388136,6.67E-05,0.000222779,31.9721,42.7165
50,9.558875497,7.05E-05,0.000237106,40.1697,48.2812
55,9.796754264,7.35E-05,0.000247851,45.6052,53.3324
60,6.557562553,8.01E-05,0.000257674,52.6924,58.382
70,4.714200376,8.81E-05,0.000269921,63.5694,68.2524
80,4.828574073,9.83E-05,0.000274272,73.6057,78.2611
100,4.121609454,0.00011286,0.00028505,93.9304,98.1516
120,4.528225731,0.000129576,0.000293151,113.962,118.358
