mass C_12 C_13 C_14 N_13 N_14 N_15 O_14 O_15 O_16 O_17 O_18 F_18 Mg_24 Mg_25 Mg_26 Mg_27 Al_26 Al_27 Al_28 Al_29 Al_30 Si_28 Si_29 Si_30 Si_31 Si_32 P_29 P_30 P_31 P_32 P_33 P_34 S_32 S_33 S_34 Ca_40 Ar_44 K_44 Ca_44 Sc_46 Ti_46 Ca_46 K_46 Ar_46 K_47 Ca_47 Ti_47 Sc_47 V_47 K_48 Ca_48 Sc_48 Ti_48 V_48 Ca_49 Sc_49 Ti_49 V_49 Ca_50 Sc_50 Ti_50 V_50
0.00632521 9.70422e-09 9.29042e-14 7.48216e-15 4.21976e-18 6.00663e-14 3.79512e-14 1.07693e-23 8.69897e-18 6.54976e-08 6.47699e-14 9.69499e-16 2.19834e-18 2.69798e-07 2.53793e-09 7.10046e-09 3.30353e-12 1.12056e-12 1.46499e-08 1.75184e-10 1.09436e-10 0 6.80813e-05 8.99933e-06 0.000165975 8.56156e-08 1.88165e-08 3.92449e-13 9.18744e-10 5.94304e-06 2.29291e-07 4.41233e-07 2.40598e-11 1.15502e-05 3.88608e-06 0.000421806 6.11207e-08 1.35657e-19 8.299e-14 2.28734e-06 4.63928e-08 4.71776e-06 7.98142e-08 1.56491e-18 0 0 3.46398e-10 6.19504e-06 5.69834e-07 8.68663e-10 0 1.79874e-10 2.29514e-08 0.00143391 5.50266e-08 1.10214e-15 6.27645e-08 7.97748e-05 4.43878e-05 0 1.67039e-12 0.00169758 3.29326e-05
0.0086146 9.59408e-09 9.12434e-14 7.35342e-15 4.13051e-18 5.91392e-14 3.72496e-14 1.04663e-23 8.54136e-18 6.51409e-08 6.37663e-14 9.51975e-16 2.15227e-18 2.68546e-07 2.51678e-09 7.04499e-09 3.2644e-12 1.10992e-12 1.45562e-08 1.73433e-10 1.08186e-10 0 6.79917e-05 8.96777e-06 0.000165582 8.49975e-08 1.8657e-08 3.89346e-13 9.12279e-10 5.92505e-06 2.27871e-07 4.38667e-07 2.3787e-11 1.1531e-05 3.87405e-06 0.000421165 6.09974e-08 1.32723e-19 8.17393e-14 2.27694e-06 4.60206e-08 4.70781e-06 7.92025e-08 1.53199e-18 0 0 3.42453e-10 6.17143e-06 5.65913e-07 8.64033e-10 0 1.77842e-10 2.27348e-08 0.00143096 5.47147e-08 1.0821e-15 6.21805e-08 7.94127e-05 4.42665e-05 0 1.64532e-12 0.00169181 3.2797e-05
0.0119233 9.45041e-09 8.91168e-14 7.18775e-15 4.01823e-18 5.79511e-14 3.63537e-14 1.00945e-23 8.34275e-18 6.46712e-08 6.24765e-14 9.293e-16 2.09435e-18 2.66873e-07 2.48872e-09 6.97062e-09 3.21246e-12 1.096e-12 1.44312e-08 1.71115e-10 1.06534e-10 0 6.78717e-05 8.92511e-06 0.000165035 8.41646e-08 1.8442e-08 3.85327e-13 9.03793e-10 5.90078e-06 2.25964e-07 4.35192e-07 2.34261e-11 1.15056e-05 3.85792e-06 0.000420271 6.08404e-08 1.28981e-19 8.01101e-14 2.26287e-06 4.5528e-08 4.69483e-06 7.83802e-08 1.48993e-18 0 0 3.37225e-10 6.14018e-06 5.60678e-07 8.58085e-10 0 1.75139e-10 2.24474e-08 0.00142694 5.43094e-08 1.05618e-15 6.14011e-08 7.89239e-05 4.41067e-05 0 1.61261e-12 0.00168383 3.26164e-05
0.0165444 9.2696e-09 8.64969e-14 6.98248e-15 3.8827e-18 5.64857e-14 3.5253e-14 9.6584e-24 8.1025e-18 6.40751e-08 6.08799e-14 9.01054e-16 2.02445e-18 2.64713e-07 2.45273e-09 6.87399e-09 3.14577e-12 1.07844e-12 1.42697e-08 1.68144e-10 1.04418e-10 0 6.77192e-05 8.86929e-06 0.000164294 8.3075e-08 1.81604e-08 3.80312e-13 8.93034e-10 5.86913e-06 2.23477e-07 4.30621e-07 2.29634e-11 1.14735e-05 3.83703e-06 0.000419064 6.06504e-08 1.24387e-19 7.8057e-14 2.24433e-06 4.48942e-08 4.67853e-06 7.73029e-08 1.43817e-18 0 0 3.30496e-10 6.09997e-06 5.53869e-07 8.50713e-10 0 1.71642e-10 2.20765e-08 0.0014216 5.37995e-08 1.02378e-15 6.03881e-08 7.82797e-05 4.39022e-05 0 1.57126e-12 0.00167301 3.23822e-05
0.0234647 9.02503e-09 8.30413e-14 6.70988e-15 3.70812e-18 5.45497e-14 3.38055e-14 9.11507e-24 7.79225e-18 6.32629e-08 5.87606e-14 8.63357e-16 1.9344e-18 2.61713e-07 2.40292e-09 6.73827e-09 3.05337e-12 1.0546e-12 1.40444e-08 1.64034e-10 1.01496e-10 0 6.75168e-05 8.79055e-06 0.000163209 8.15297e-08 1.77604e-08 3.73608e-13 8.7836e-10 5.82465e-06 2.19967e-07 4.2409e-07 2.23226e-11 1.14307e-05 3.80789e-06 0.000417306 6.04097e-08 1.18346e-19 7.52666e-14 2.2177e-06 4.40096e-08 4.6566e-06 7.57657e-08 1.36989e-18 0 0 3.21104e-10 6.04389e-06 5.44232e-07 8.40907e-10 0 1.66732e-10 2.15568e-08 0.00141384 5.31071e-08 9.80221e-16 5.89561e-08 7.73522e-05 4.3619e-05 0 1.5148e-12 0.00165687 3.20514e-05
0.0328983 8.72959e-09 7.89875e-14 6.3877e-15 3.50852e-18 5.22715e-14 3.21127e-14 8.51627e-24 7.43644e-18 6.22773e-08 5.62532e-14 8.18663e-16 1.83137e-18 2.57992e-07 2.3412e-09 6.56723e-09 2.93889e-12 1.02568e-12 1.37624e-08 1.58938e-10 9.78824e-11 0 6.72882e-05 8.69113e-06 0.000161779 7.9557e-08 1.72495e-08 3.65636e-13 8.60475e-10 5.76879e-06 2.15508e-07 4.1568e-07 2.15269e-11 1.13814e-05 3.77158e-06 0.000415014 6.01503e-08 1.11299e-19 7.18759e-14 2.18304e-06 4.28961e-08 4.63043e-06 7.37836e-08 1.28989e-18 0 0 3.09321e-10 5.97332e-06 5.31899e-07 8.29277e-10 0 1.60535e-10 2.09001e-08 0.00140358 5.22629e-08 9.28048e-16 5.71295e-08 7.61392e-05 4.32659e-05 0 1.44583e-12 0.00163489 3.16282e-05
0.046728 8.34858e-09 7.39259e-14 5.98206e-15 3.26621e-18 4.94158e-14 3.00059e-14 7.81718e-24 7.00331e-18 6.10116e-08 5.30893e-14 7.6233e-16 1.7061e-18 2.53092e-07 2.25928e-09 6.33572e-09 2.78697e-12 9.88247e-13 1.3384e-08 1.52157e-10 9.30909e-11 0 6.70469e-05 8.55745e-06 0.000159755 7.68408e-08 1.65454e-08 3.55607e-13 8.37252e-10 5.69436e-06 2.09405e-07 4.03976e-07 2.04653e-11 1.1326e-05 3.72362e-06 0.000411835 5.98878e-08 1.02568e-19 6.74618e-14 2.13398e-06 4.13791e-08 4.59786e-06 7.10085e-08 1.19028e-18 0 0 2.93378e-10 5.87737e-06 5.1475e-07 8.14668e-10 0 1.52094e-10 2.00018e-08 0.00138877 5.11584e-08 8.61388e-16 5.46049e-08 7.44059e-05 4.27923e-05 0 1.35544e-12 0.00160198 3.10388e-05
0.0651319 7.92041e-09 6.84307e-14 5.53818e-15 3.0102e-18 4.62963e-14 2.77264e-14 7.10632e-24 6.54478e-18 5.96161e-08 4.96098e-14 7.00903e-16 1.57346e-18 2.47531e-07 2.16439e-09 6.06205e-09 2.61176e-12 9.46021e-13 1.29407e-08 1.44275e-10 8.75542e-11 0 6.68987e-05 8.40224e-06 0.000157262 7.35652e-08 1.56978e-08 3.44745e-13 8.11081e-10 5.60924e-06 2.02082e-07 3.89679e-07 1.92304e-11 1.12821e-05 3.66931e-06 0.000408053 5.97317e-08 9.32527e-20 6.24739e-14 2.07257e-06 3.95599e-08 4.56395e-06 6.75951e-08 1.08341e-18 0 0 2.74577e-10 5.76229e-06 4.93705e-07 7.98853e-10 0 1.42093e-10 1.89237e-08 0.00136974 4.9891e-08 7.87988e-16 5.15485e-08 7.22062e-05 4.22344e-05 0 1.25273e-12 0.00155809 3.031e-05
0.089384 7.45799e-09 6.2675e-14 5.06948e-15 2.749e-18 4.30121e-14 2.53463e-14 6.40511e-24 6.07869e-18 5.81998e-08 4.5915e-14 6.36515e-16 1.43767e-18 2.41678e-07 2.05882e-09 5.74989e-09 2.41703e-12 9.00523e-13 1.24425e-08 1.35419e-10 8.13728e-11 0 6.70215e-05 8.23374e-06 0.000154335 6.97339e-08 1.47085e-08 3.33834e-13 7.83203e-10 5.51977e-06 1.93571e-07 3.7271e-07 1.78414e-11 1.12774e-05 3.61305e-06 0.000403901 5.98559e-08 8.37142e-20 5.70412e-14 1.99731e-06 3.74344e-08 4.53493e-06 6.35084e-08 9.73427e-19 0 0 2.53166e-10 5.62904e-06 4.68483e-07 7.83238e-10 0 1.30673e-10 1.76665e-08 0.00134573 4.85027e-08 7.10593e-16 4.79594e-08 6.94624e-05 4.16095e-05 0 1.14053e-12 0.00150028 2.94271e-05
0.127161 6.80127e-09 5.46863e-14 4.41298e-15 2.39684e-18 3.84465e-14 2.2054e-14 5.48914e-24 5.46426e-18 5.65831e-08 4.07075e-14 5.47484e-16 1.25357e-18 2.34474e-07 1.90404e-09 5.27471e-09 2.12923e-12 8.37118e-13 1.17077e-08 1.22107e-10 7.21595e-11 0 6.8267e-05 8.01357e-06 0.00014989 6.36881e-08 1.31548e-08 3.21245e-13 7.46201e-10 5.41411e-06 1.80265e-07 3.45421e-07 1.57538e-11 1.14319e-05 3.54898e-06 0.000398646 6.10753e-08 7.09342e-20 4.92184e-14 1.87067e-06 3.40673e-08 4.5243e-06 5.6894e-08 8.25364e-19 0 0 2.2077e-10 5.42417e-06 4.27285e-07 7.66693e-10 0 1.13424e-10 1.56942e-08 0.00130386 4.65497e-08 6.04076e-16 4.23131e-08 6.47333e-05 4.0719e-05 0 9.7937e-13 0.00139418 2.79579e-05
