isotope  mass fraction
 H   1   7.057E-01
 H   2   4.801E-05
He   3   2.929E-05
He   4   2.752E-01
Li   6   6.496E-10
Li   7   9.349E-09
Be   9   1.662E-10
 B  10   1.067E-09
 B  11   4.730E-09
 C  12   3.032E-03
 C  13   3.650E-05
 N  14   1.105E-03
 N  15   4.363E-06
 O  16   9.592E-03
 O  17   3.887E-06
 O  18   2.167E-05
 F  19   4.051E-07
Ne  20   1.619E-03
Ne  21   4.127E-06
Ne  22   1.302E-04
Na  23   3.339E-05
Mg  24   5.148E-04
Mg  25   6.766E-05
Mg  26   7.760E-05
Al  27   5.805E-05
Si  28   6.530E-04
Si  29   3.426E-05
Si  30   2.352E-05
 P  31   8.155E-06
 S  32   3.958E-04
 S  33   3.222E-06
 S  34   1.866E-05
 S  36   9.379E-08
Cl  35   2.532E-06
Cl  37   8.545E-07
Ar  36   7.740E-05
Ar  38   1.538E-05
Ar  40   2.529E-08
 K  39   3.472E-06
 K  40   5.545E-09
 K  41   2.634E-07
Ca  40   5.990E-05
Ca  42   4.196E-07
Ca  43   8.973E-08
Ca  44   1.425E-06
Ca  46   2.793E-09
Ca  48   1.384E-07
Sc  45   3.893E-08
Ti  46   2.234E-07
Ti  47   2.081E-07
Ti  48   2.149E-06
Ti  49   1.636E-07
Ti  50   1.644E-07
 V  50   9.258E-10
 V  51   3.767E-07
Cr  50   7.424E-07
Cr  52   1.486E-05
Cr  53   1.716E-06
Cr  54   4.357E-07
Mn  55   1.329E-05
Fe  54   7.130E-05
Fe  56   1.169E-03
Fe  57   2.855E-05
Fe  58   3.697E-06
Co  59   3.358E-06
Ni  58   4.944E-05
Ni  60   1.958E-05
Ni  61   8.594E-07
Ni  62   2.776E-06
Ni  64   7.269E-07
Cu  63   5.753E-07
Cu  65   2.647E-07
Zn  64   9.924E-07
Zn  66   5.877E-07
Zn  67   8.762E-08
Zn  68   4.059E-07
Zn  70   1.339E-08
Ga  69   3.962E-08
Ga  71   2.630E-08
Ge  70   4.320E-08
Ge  72   5.940E-08
Ge  73   1.710E-08
Ge  74   8.120E-08
Ge  76   1.780E-08
As  75   1.240E-08
Se  74   1.030E-09
Se  76   1.080E-08
Se  77   9.150E-09
Se  78   2.900E-08
Se  80   6.250E-08
Se  82   1.180E-08
Br  79   1.190E-08
Br  81   1.190E-08
Kr  78   3.020E-10
Kr  80   2.020E-09
Kr  82   1.070E-08
Kr  83   1.080E-08
Kr  84   5.460E-08
Kr  86   1.710E-08
Rb  85   1.100E-08
Rb  87   4.640E-09
Sr  84   2.800E-10
